,channel,strength
367,367,0.000969772
286,286,0.00096976873
7,7,0.00096907315
146,146,0.00096689834
139,139,0.000962454
204,204,0.0009589661
3,3,0.000956985
280,280,0.0009566337
509,509,0.00094728253
181,181,0.0009440433
68,68,0.0009432923
269,269,0.0009399444
179,179,0.00093980297
274,274,0.0009315241
95,95,0.0009284373
263,263,0.00092792546
72,72,0.00092775293
277,277,0.0009271326
436,436,0.0009269056
500,500,0.0009265228
87,87,0.00092501455
310,310,0.00092400954
300,300,0.00092247425
144,144,0.0009218417
426,426,0.00091638684
81,81,0.00091634423
188,188,0.00090678554
289,289,0.0009011138
418,418,0.00089773914
397,397,0.00089350634
304,304,0.0008868619
482,482,0.0008865463
495,495,0.0008795051
312,312,0.00087571866
166,166,0.00087193854
183,183,0.00087024615
5,5,0.00086923986
446,446,0.0008691286
212,212,0.00086676405
46,46,0.00086484046
118,118,0.00086480496
254,254,0.00086135446
88,88,0.000861164
219,219,0.0008608658
467,467,0.0008600293
76,76,0.00085848826
331,331,0.00085327355
498,498,0.0008505213
39,39,0.000848981
93,93,0.00084537006
433,433,0.0008452787
410,410,0.00084377866
194,194,0.00083563104
478,478,0.00083321065
272,272,0.00083227345
223,223,0.00083198043
311,311,0.00083184306
431,431,0.0008309719
337,337,0.0008306422
189,189,0.0008290602
341,341,0.0008284594
394,394,0.00082656107
396,396,0.0008221022
92,92,0.0008204752
50,50,0.0008168993
84,84,0.0008081732
64,64,0.0008072594
123,123,0.00080666045
71,71,0.0008044883
140,140,0.00080113776
120,120,0.0007968432
14,14,0.00079405046
324,324,0.00079051324
115,115,0.0007894897
191,191,0.0007880761
439,439,0.0007866818
393,393,0.000783365
131,131,0.0007829777
327,327,0.0007810872
17,17,0.0007793945
97,97,0.00077890133
295,295,0.0007760637
423,423,0.00077443745
403,403,0.0007743149
497,497,0.0007740729
171,171,0.00077238533
276,276,0.0007655106
452,452,0.00076521165
136,136,0.0007644099
82,82,0.0007621963
142,142,0.000760782
374,374,0.0007555941
444,444,0.0007507936
282,282,0.0007499849
421,421,0.0007498477
375,375,0.00074311404
358,358,0.0007403847
217,217,0.00073654624
165,165,0.00073613157
420,420,0.0007335366
227,227,0.0007332281
330,330,0.00073107216
368,368,0.00072970067
37,37,0.00072445447
149,149,0.00072384684
477,477,0.000723286
407,407,0.00072004553
242,242,0.00071955
134,134,0.0007190485
172,172,0.0007161819
69,69,0.00071376155
372,372,0.00071212306
236,236,0.00071169576
349,349,0.000709231
484,484,0.00070886995
222,222,0.0007068514
9,9,0.00070441724
481,481,0.0007041735
373,373,0.0007033714
323,323,0.00070036115
434,434,0.0006995436
438,438,0.00069369253
359,359,0.0006884251
370,370,0.00068327464
308,308,0.000678813
445,445,0.0006780726
10,10,0.0006776827
127,127,0.0006771573
224,224,0.0006768041
296,296,0.00067331357
256,256,0.00066997507
493,493,0.0006680274
67,67,0.0006640576
116,116,0.0006630596
132,132,0.000661265
62,62,0.00066118705
508,508,0.00065791415
468,468,0.0006579114
440,440,0.00065191026
317,317,0.00065190904
160,160,0.00065158366
492,492,0.00065123267
458,458,0.0006491314
114,114,0.0006431901
58,58,0.00063985295
313,313,0.0006342638
18,18,0.0006290864
261,261,0.0006265827
383,383,0.00062478095
294,294,0.00062198006
143,143,0.0006198618
61,61,0.0006060728
103,103,0.0006045529
419,419,0.00060209975
466,466,0.0006016268
507,507,0.0005986943
273,273,0.0005929426
240,240,0.0005922067
350,350,0.00058880384
429,429,0.000588744
129,129,0.00058819435
267,267,0.00058599794
252,252,0.0005856361
23,23,0.00058518484
400,400,0.0005806418
283,283,0.0005790221
89,89,0.00057516847
12,12,0.0005741658
176,176,0.0005739618
192,192,0.00057157595
101,101,0.00056115567
442,442,0.0005588267
41,41,0.0005569018
63,63,0.0005514146
441,441,0.0005468517
398,398,0.00054553134
307,307,0.0005450811
298,298,0.00054445845
342,342,0.00054111326
502,502,0.0005392242
78,78,0.0005375705
44,44,0.0005357114
73,73,0.00053344626
209,209,0.00053105725
158,158,0.0005261206
70,70,0.0005217334
199,199,0.0005199517
471,471,0.0005012095
511,511,0.0004969943
259,259,0.000493192
235,235,0.00047622804
301,301,0.0004594244
275,275,0.0004556442
167,167,0.00045370075
133,133,0.00044329825
147,147,0.00043812627
348,348,0.00042484334
190,190,0.0004229568
406,406,0.00042175007
480,480,0.000417746
108,108,0.00041762542
395,395,0.000411962
305,305,0.0004101298
290,290,0.00040680933
489,489,0.0004044473
251,251,0.0004041571
164,164,0.00040222614
257,257,0.00039560342
379,379,0.000392651
326,326,0.00038673886
112,112,0.00036090027
83,83,0.000344462
351,351,0.00034133552
210,210,0.00033938422
141,141,0.0003355473
60,60,0.00033554618
226,226,0.00033128157
203,203,0.00032476717
15,15,0.00027671162
208,208,0.0002761039
291,291,0.000266872
213,213,0.0002634147
415,415,0.00026088266
474,474,0.000256801
271,271,0.00024554084
201,201,0.00023913333
443,443,0.00023458686
145,145,0.00022581422
284,284,0.00022399156
258,258,0.00021423028
465,465,0.00021232266
453,453,0.00021226592
75,75,0.00020900984
55,55,0.00020078795
26,26,0.00018182797
45,45,0.00016305555
345,345,0.00015414672
