,channel,strength
461,461,0.00027407336
255,255,0.00027380435
251,251,0.00027299367
109,109,0.00027289733
246,246,0.00027286436
259,259,0.00027249
201,201,0.00026961832
207,207,0.00026913724
198,198,0.00026806045
236,236,0.00026771048
326,326,0.00026338472
49,49,0.00026074707
138,138,0.0002606831
147,147,0.00025864976
30,30,0.00025828253
408,408,0.0002574985
177,177,0.00025741325
153,153,0.00025581883
187,187,0.0002544332
34,34,0.0002536471
58,58,0.00025209208
473,473,0.00024838003
221,221,0.00024675552
126,126,0.00024573723
228,228,0.00024463152
306,306,0.00024407305
250,250,0.00024358112
421,421,0.00024149592
176,176,0.00024142586
64,64,0.00023718696
336,336,0.00023363969
40,40,0.00023206352
504,504,0.00023138674
399,399,0.0002291037
305,305,0.00022865152
60,60,0.0002266992
301,301,0.00022585278
222,222,0.00022387604
311,311,0.00022371336
17,17,0.0002226341
52,52,0.00022181227
142,142,0.00021962133
103,103,0.00021821138
382,382,0.00021803642
1,1,0.0002171288
337,337,0.00021468119
445,445,0.00021307352
314,314,0.00021049718
100,100,0.00020906334
360,360,0.00020833187
340,340,0.00020668289
106,106,0.0002023169
462,462,0.00019855957
271,271,0.00019850428
227,227,0.00019575101
35,35,0.00019263716
510,510,0.00018776124
265,265,0.0001874168
31,31,0.00018595619
333,333,0.00018071612
13,13,0.00017645532
431,431,0.00017538466
47,47,0.00017165719
335,335,0.00016702584
